Year,Snowfall (cm),Snowfall (in),
1921,1704.34,671,
1922,1836.42,723,
1923,1435.1,565,
1924,1399.54,551,
1925,1711.96,674,
1926,947.42,373,
1927,1493.52,588,
1928,1028.7,405,
1929,1407.16,554,
1930,990.6,390,
1931,1127.76,444,
1932,1907.54,751,
1933,1584.96,624,
1934,802.64,316,
1935,1379.22,543,
1936,1536.7,605,
1937,1760.22,693,
1938,1297.94,511,
1939,1455.42,573,
1940,795.02,313,
1941,1343.66,529,
1942,1132.84,446,
1943,1343.66,529,
1944,NaN,NaN,
1945,NaN,NaN,
1946,NaN,NaN,
1947,1343.66,529,
1948,1678.94,661,
1949,NaN,NaN,
1950,NaN,NaN,
1951,NaN,NaN,
1952,NaN,NaN,
1953,NaN,NaN,
1954,NaN,NaN,
1955,2001.52,788,
1956,2540,1000,
1957,1572.26,619,
1958,1529.08,602,
1959,1640.84,646,
1960,1432.56,564,
1961,1739.9,685,
1962,1384.3,545,
1963,1148.08,452,
1964,1089.66,429,
1965,1366.52,538,
1966,1480.82,583,
1967,1757.68,692,
1968,1275.08,502,
1969,2105.66,829,
1970,1648.46,649,
1971,2245.36,884,
1972,2849.88,1122,
1973,1465.58,577,
1974,2717.8,1070,
1975,2082.8,820,
1976,2179.32,858,
1977,1051.56,414,
1978,1518.92,598,
1979,1480.82,583,
1980,1638.3,645,
1981,1168.4,460,
1982,1978.66,779,
1983,1729.74,681,
1984,1846.58,727,
1985,1805.94,711,
1986,1496.06,589,
1987,1457.96,574,
1988,1590.04,626,
1989,1917.7,755,
1990,1836.42,723,
1991,1841.5,725,
1992,1267.46,499,
1993,1397,550,
1994,1506.22,593,
1995,1859.28,732,
1996,1671.32,658,
1997,2382.52,938,
1998,1711.96,674,
1999,2622.55,1032.5,
2000,1912.62,753,
2001,1247.14,491,
2002,2125.98,837,
2003,1460.5,575,
2004,1711.96,674,
2005,1038.86,409,
2006,1925.32,758,
2007,1689.1,665,
2008,2405.38,947,
2009,1864.36,734,
2010,1292.86,509,
2011,2303.78,907,
2012,1772.92,698,
2013,1882.14,741,
2014,1498.6,590,
2015,675.64,266,
2016,1772.92,698,
